Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",248.020000,-51.680000,-90.000000,bottom
"C6","100nF","C_0805_2012Metric",300.420000,-174.650000,-90.000000,bottom
"C12","100nF","C_0805_2012Metric",229.420000,-53.730000,180.000000,bottom
"C15","100nF","C_0805_2012Metric",252.220000,-143.680000,-90.000000,bottom
"C16","100nF","C_0805_2012Metric",269.760000,-31.750000,90.000000,bottom
"C17","100nF","C_0805_2012Metric",298.020000,-61.680000,-90.000000,bottom
"C18","100nF","C_0805_2012Metric",269.940000,-167.490000,90.000000,bottom
"C19","100nF","C_0805_2012Metric",249.820000,-188.380000,-90.000000,bottom
"C20","100nF","C_0805_2012Metric",290.070000,-53.840000,0.000000,bottom
"C21","100nF","C_0805_2012Metric",267.030000,-187.580000,0.000000,bottom
"C22","100nF","C_0805_2012Metric",270.070000,-48.150000,0.000000,bottom
"C23","100nF","C_0805_2012Metric",260.020000,-130.780000,-90.000000,bottom
"C25","100nF","C_0805_2012Metric",235.380000,-27.440000,180.000000,bottom
"C26","100nF","C_0805_2012Metric",236.870000,-187.630000,180.000000,bottom
"J1","zworaGND","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",236.540000,-118.060000,-90.000000,bottom
"LeftBack_enc1","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical",256.620000,-150.450000,0.000000,bottom
"LeftFront_enc1","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical",241.070000,-53.650000,90.000000,bottom
"RightBack_enc1","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical",256.420000,-137.450000,0.000000,bottom
"RightFront_enc1","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical",277.520000,-53.730000,-90.000000,bottom
"STEPMOT_LF1","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical",270.520000,-178.850000,0.000000,bottom
"StepMot_LB1","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical",230.120000,-35.080000,180.000000,bottom
"StepMot_RB1","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical",269.760000,-43.310000,0.000000,bottom
"StepMot_RF1","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical",229.700000,-171.230000,180.000000,bottom
"UART1","UART1","PinSocket_1x03_P2.54mm_Vertical",239.020000,-141.690000,180.000000,bottom
"leftB1","Pololu_Breakout_A4988","Pololu_Breakout-16_15.2x20.3mm",233.590000,-47.820000,0.000000,bottom
"leftF1","Pololu_Breakout_A4988","Pololu_Breakout-16_15.2x20.3mm",266.020000,-166.230000,180.000000,bottom
"rightB1","Pololu_Breakout_A4988","Pololu_Breakout-16_15.2x20.3mm",266.020000,-30.070000,180.000000,bottom
"rightF1","Pololu_Breakout_A4988","Pololu_Breakout-16_15.2x20.3mm",235.180000,-184.120000,0.000000,bottom
