Ref,Val,Package,PosX,PosY,Rot,Side
"Back1","TB6612FNG","SHIELD_POLOLU-713",312.490000,-173.290000,180.000000,top
"BackB_output1","~","PinSocket_1x02_P2.54mm_Vertical",328.620000,-152.630000,180.000000,top
"BazkB_output1","~","PinSocket_1x02_P2.54mm_Vertical",328.420000,-134.630000,180.000000,top
"C2","100nF","C_0805_2012Metric",300.220000,-130.630000,0.000000,top
"C3","100nF","C_0805_2012Metric",305.980000,-108.390000,0.000000,top
"C4","100nF","C_0805_2012Metric",300.020000,-103.030000,180.000000,top
"C5","100uF","C_0805_2012Metric",305.860000,-124.370000,180.000000,top
"C7","100nF","C_0805_2012Metric",305.820000,-144.630000,180.000000,top
"C8","100nF","C_0805_2012Metric",305.820000,-127.230000,180.000000,top
"C9","100nF","C_0805_2012Metric",300.250000,-149.450000,0.000000,top
"C10","100nF","C_0805_2012Metric",300.020000,-85.030000,180.000000,top
"C11","100nF","C_0805_2012Metric",286.050000,-42.620000,180.000000,top
"C13","100uF","C_0805_2012Metric",286.050000,-45.840000,0.000000,top
"C14","100nF","C_0805_2012Metric",306.020000,-105.630000,180.000000,top
"C24","100nF","C_0805_2012Metric",306.090000,-87.060000,180.000000,top
"D1","D_Filled","D_0805_2012Metric",306.620000,-114.030000,180.000000,top
"D2","D_Filled","D_0805_2012Metric",282.020000,-42.830000,0.000000,top
"F1","Fuse","Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open",279.900000,-184.630000,0.000000,top
"F2","Fuse","Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open",292.890000,-41.880000,0.000000,top
"Front1","TB6612FNG","SHIELD_POLOLU-713",309.670000,-59.540000,180.000000,top
"FrontA_output1","~","PinSocket_1x02_P2.54mm_Vertical",328.020000,-79.690000,0.000000,top
"FrontB_output1","~","PinSocket_1x02_P2.54mm_Vertical",328.620000,-99.970000,180.000000,top
"R1","3.2K","R_0805_2012Metric",300.180000,-134.970000,180.000000,top
"R2","3.2K","R_0805_2012Metric",300.020000,-100.230000,180.000000,top
"R3","3.2K","R_0805_2012Metric",300.230000,-152.380000,180.000000,top
"R4","3.2K","R_0805_2012Metric",300.020000,-82.030000,180.000000,top
"U1","~","STM32H755",297.750000,-189.300000,180.000000,top
"U2","LTSR6-NP","LEM_LTSR-NP",312.220000,-127.630000,0.000000,top
"U4","LTSR6-NP","LEM_LTSR-NP",312.220000,-92.830000,0.000000,top
"U5","LTSR6-NP","LEM_LTSR-NP",312.220000,-145.230000,0.000000,top
"U6","LTSR6-NP","LEM_LTSR-NP",312.020000,-74.630000,0.000000,top
"UART2","UART2","PinSocket_1x03_P2.54mm_Vertical",271.020000,-192.230000,90.000000,top
"bat_7V_ac1","~","PinSocket_1x02_P2.54mm_Vertical",310.800000,-116.540000,180.000000,top
"bat_7V_dc1","~","PinSocket_1x02_P2.54mm_Vertical",278.070000,-45.170000,180.000000,top
"bat_12V_back1","~","PinSocket_1x02_P2.54mm_Vertical",282.820000,-192.230000,-90.000000,top
"bat_12V_front1","~","PinSocket_1x02_P2.54mm_Vertical",295.520000,-50.120000,-90.000000,top
"sabilizator_adc1","LM2940T-5.0_NOPB","TO-220-3_Vertical",314.547500,-113.992500,-90.000000,top
"sabiliztor_dc1","LM2940T-5.0_NOPB","TO-220-3_Vertical",279.940000,-37.670000,0.000000,top
